epoch,step,dev_acc,test_acc
0,67,0.3817,0.3481
1,134,0.4169,0.4005
2,201,0.448,0.4359
3,268,0.4464,0.4448
4,335,0.4365,0.4311
5,402,0.466,0.4367
6,469,0.4431,0.4392
7,536,0.4595,0.444
8,603,0.4799,0.4633
9,670,0.525,0.5117
10,737,0.5274,0.5205
11,804,0.5684,0.5423
12,871,0.5799,0.5479
13,938,0.5938,0.5439
14,1005,0.5758,0.5455
15,1072,0.5889,0.5536
16,1139,0.5823,0.5697
17,1206,0.5766,0.5624
18,1273,0.5987,0.5681
19,1340,0.593,0.5624
20,1407,0.5979,0.5641
21,1474,0.5979,0.5689
22,1541,0.588,0.5568
23,1608,0.6003,0.5536
24,1675,0.5823,0.556
25,1742,0.6028,0.5584
26,1809,0.5897,0.5391
27,1876,0.6061,0.5633
28,1943,0.5897,0.5568
29,2010,0.5782,0.5423
30,2077,0.5741,0.5455
31,2144,0.5676,0.5447
32,2211,0.579,0.5512
33,2278,0.5741,0.5633
34,2345,0.5807,0.552
35,2412,0.5938,0.5471
36,2479,0.5921,0.5568
37,2546,0.5708,0.5375
